"filename", "language", "TypeScript", "CSS", "TypeScript React", "comment", "blank", "total"
"d:\Projekty\React Typescript\budgety\src\actions\budgets.ts", "TypeScript", 37, 0, 0, 0, 8, 45
"d:\Projekty\React Typescript\budgety\src\actions\index.ts", "TypeScript", 3, 0, 0, 0, 1, 4
"d:\Projekty\React Typescript\budgety\src\actions\transactions.ts", "TypeScript", 41, 0, 0, 10, 10, 61
"d:\Projekty\React Typescript\budgety\src\actions\types.ts", "TypeScript", 26, 0, 0, 0, 3, 29
"d:\Projekty\React Typescript\budgety\src\components\AllMoney\AllMoney.tsx", "TypeScript React", 0, 0, 19, 0, 6, 25
"d:\Projekty\React Typescript\budgety\src\components\App.tsx", "TypeScript React", 0, 0, 22, 0, 6, 28
"d:\Projekty\React Typescript\budgety\src\components\Budget\Budget.tsx", "TypeScript React", 0, 0, 89, 0, 11, 100
"d:\Projekty\React Typescript\budgety\src\components\Budget\BudgetList.tsx", "TypeScript React", 0, 0, 35, 0, 7, 42
"d:\Projekty\React Typescript\budgety\src\components\Button\Button.tsx", "TypeScript React", 0, 0, 21, 0, 4, 25
"d:\Projekty\React Typescript\budgety\src\components\InputBudget\InputBudget.tsx", "TypeScript React", 0, 0, 93, 0, 11, 104
"d:\Projekty\React Typescript\budgety\src\components\Modal\BudgetModal.tsx", "TypeScript React", 0, 0, 200, 3, 24, 227
"d:\Projekty\React Typescript\budgety\src\components\Modal\Modal.tsx", "TypeScript React", 0, 0, 19, 0, 5, 24
"d:\Projekty\React Typescript\budgety\src\components\NavBar\NavBar.tsx", "TypeScript React", 0, 0, 51, 0, 8, 59
"d:\Projekty\React Typescript\budgety\src\components\styles\animations.css", "CSS", 0, 14, 0, 0, 4, 18
"d:\Projekty\React Typescript\budgety\src\index.css", "CSS", 0, 8, 0, 0, 2, 10
"d:\Projekty\React Typescript\budgety\src\index.tsx", "TypeScript React", 0, 0, 20, 0, 6, 26
"d:\Projekty\React Typescript\budgety\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 1, 1, 2
"d:\Projekty\React Typescript\budgety\src\reducers\budgets.ts", "TypeScript", 42, 0, 0, 4, 10, 56
"d:\Projekty\React Typescript\budgety\src\reducers\index.ts", "TypeScript", 13, 0, 0, 0, 3, 16
"d:\Projekty\React Typescript\budgety\src\reducers\transactions.ts", "TypeScript", 14, 0, 0, 0, 2, 16
"d:\Projekty\React Typescript\budgety\src\utils\functions.ts", "TypeScript", 5, 0, 0, 0, 1, 6
"Total", "-", 181, 22, 569, 18, 133, 923
